Wedding cake,Birthday cake,Raspberry tart,Apple pie,Gingerbread biscuits,Lemon cake,Lemon tart,Oreos,Wienerbröd,Semla,Cinammon scroll,Apple pullapart,Round pullapart,Brioche,Raspberry slice,NativeLang,OtherLangs,Age,Gender,Birthplace,Residences,SubmissionTime
cake,cake,tart,pie,cookie,slice,tart,biscuit,pastry,bread,roll,bread,cake,bun,slice,Mandarin,English,20-29,Female,China,,Sat May 15 07:25:12 AM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,tart,bun,roll,pastry,bread,roll,pastry,English,"Turkish, Kyrgyz, French",40-49,Female,USA,Turkey,Sat May 15 07:35:42 AM 2021
cake,cake,cake,pie,cookie,Cinnamon rolls ,tart,Cinnamon rolls ,Cinnamon rolls ,Cream puff ,Cinnamon rolls ,pastry,pastry,Cinnamon rolls ,Cinnamon rolls ,Engr,"French, German, Italian, Spanish ",60-69,Female,USA,None,Sat May 15 08:08:15 AM 2021
cake,cake,tart,pie,cookie,cake,tart,biscuit,pastry,cookie,bun,bread,bread,bun,slice,British English,Japanese,Under 20,Female,England,Australia,Sat May 15 08:30:45 AM 2021
cake,cake,tart,pie,biscuit,cake,slice,cookie,pastry,bun,roll,pastry,cake,bun,pastry,English,"Tamil, Spanish, French, Italian, Japanese (+ bits of others) ",30-39,Male,Australia,USA,Sat May 15 01:34:07 PM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,Danish,Creampuff,roll,bread,bread,bread,bars,English,Spanish,40-49,Female,USA,,Sat May 15 07:03:22 PM 2021
cake,cake,pie,pie,biscuit,cake,tart,biscuit,pastry,bun,pastry,pastry,cake,bread,pastry,Irish,English,20-29,Nonbinary,Ireland,,Sat May 15 07:13:02 PM 2021
cake,cake,tart,pie,biscuit,cake,pie,cookie,pastry,pastry,bun,cake,cake,bread,cake,Dutch,"Swedish, English",20-29,Female,Belgium,Sweden,Sun May 16 07:28:13 PM 2021
Wedding cake,cake,tart,pie,biscuit,cake,tart,biscuit,Danish pastry,Cream bun,Cinnamon roll,pastry,cake,bread,tart,British English,Welsh,40-49,Female,Wales,"England, Scotland",Sun May 16 07:56:11 PM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,pastry,pastry,bun,bread,cake,bun,cake,Swedish,English,20-29,Female,Sweden,US,Sun May 16 09:24:38 PM 2021
cake,cake,tart,pie,cookie,tart,tart,cookie,pastry,pastry,pastry,roll,pastry,roll,cake,English,Spanish,60-69,Male,USA,Mexico,Mon May 17 04:44:47 AM 2021
cake,cake,cookie,pie,cookie,cake,tart,cake,cookie,bun,cookie,cake,cake,bread,slice,german,"english, swedish, french",20-29,Female,Germany,,Mon May 17 11:27:35 AM 2021
cake,cake,Flan,pie,biscuit,bun,tart,biscuit,Danish,Scone,Scroll,pastry,bun,Pullapart,slice,English,,40-49,Male,Australia,,Tue May 18 08:01:44 AM 2021
tart,tart,pastry,pie,cookie,cake,pastry,cookie,bun,bun,roll,cake,pastry,bun,pastry,Dutch,English and German,60-69,Female,Netherlands,0,Tue May 18 10:03:21 AM 2021
cake,cake,tart,pie,cookie,cake,slice,biscuit,pastry,pastry,bun,cake,cake,bread,cake,Swedish,"English, French ",20-29,Female,Sweden,,Tue May 18 02:13:25 PM 2021
cake,cake,tart,pie,cookie,tart,tart,biscuit,pastry,bun,bun,cake,cake,bread,cake,Swedish,English,40-49,Female,Sweden,Usa,Tue May 18 07:50:26 PM 2021
cake,cake,tart,pie,Gingerbread,cake,tart,biscuit,Pastry,bun,bun,bun,cake,bun,Sheetpan muffin,Finnish swedish,English and finnish,30-39,Female,Finland,,Tue May 18 07:59:15 PM 2021
cake,cake,tart,pie,cookie,cake,slice,biscuit,pastry,pastry,bun,bread,pastry,bread,slice,French,"English, Swedish",20-29,Female,Sweden,France,Wed May 19 02:07:36 PM 2021
tart,cake,tart,tart,biscuit,tart,tart,biscuit,pie,bun,roll,pie,pie,bread,tart,Telugu,English,20-29,Female,India ,,Wed May 19 02:13:47 PM 2021
