Wedding cake,Birthday cake,Raspberry tart,Apple pie,Gingerbread biscuits,Lemon cake,Lemon tart,Oreos,Wienerbröd,Semla,Cinammon scroll,Apple pullapart,Round pullapart,Brioche,Raspberry slice,NativeLang,OtherLangs,Age,Gender,Birthplace,Residences,SubmissionTime
cake,cake,tart,pie,biscuit,cake,tart,biscuit,danish,scone,scroll,pie,cake,brioche,slice,English,"Spanish, Murrinhpatha",40-49,Male,Australia,,Thu May 13 07:38:48 AM 2021
cake,cake,cake,pie,biscuit,cake,slice,biscuit,pastry,bun,roll,I don't know ,cake,bread,slice,ENGLISH,,40-49,Female,New Zealand ,,Thu May 13 07:40:23 AM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,pastry,Cream puff,Cinnamon roll,Coffee cake ,Coffee cake ,bread,Coffee cake ,English,German ,30-39,Male,United States,None ,Thu May 13 07:42:56 AM 2021
cake,cake,pie,pie,cookie,cake,pie,cookie,pastry,cake,bun,cake,cake,bread,pastry,english,,50-59,Female,usa,,Thu May 13 07:54:21 AM 2021
cake,cake,tart,pie,cookie,cake,slice,biscuit,pastry,bun,bun,cake,cake,roll,cake,English,,20-29,Female,Australia,,Thu May 13 08:14:41 AM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,pastry,bun,roll,bread,cake,bread,bread,English ,French ,30-39,Female,USA,,Thu May 13 08:14:53 AM 2021
cake,cake,tart,pie,biscuit,cake,pie,biscuit,danish,pastry,scroll,pastry,cake,bun,pastry,English,Mandarin Chinese,40-49,Male,Australia,,Thu May 13 08:19:06 AM 2021
cake,cake,tart,pie,cookie,cake,Pie but could also be a tart - depends on flavor,cookie,Danish,Not sure - maybe pastry but also scone if it’s a scone,Both bun and roll work here,pastry,cake,The loaf is bread and individual pieces are a roll,cake,English,Spanish,30-39,Female,Usa,Uk,Thu May 13 08:19:45 AM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,pastry,Scone? ,bread,bread,bread,bread,cake,English,Japanese ,30-39,Female,Japan,England ,Thu May 13 08:32:49 AM 2021
cake,cake,tart,pie,Gingerbread ,cake,tart,biscuit,Danish,pastry,roll,Strudel,Tea cake,bread,Cake bar,English ,French (not fluent),40-49,Female,Australia,"U.K., USA",Thu May 13 08:44:02 AM 2021
cake,cake,cake,pie,cookie,cake,pie,cookie,pastry,pastry,pastry,pastry,bread,bread,pastry,Dutch,"English, German ",30-39,Female,Netherlands,None,Thu May 13 08:45:36 AM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,pastry,scone,scroll,cake,cake,bread,cake,English,"German, Indonesian",20-29,Female,Australia,,Thu May 13 08:45:46 AM 2021
cake,cake,cake,pie,biscuit,cake,tart,biscuit,pastry,pastry,bun,pastry,bun,bun,slice,English,Japanese,20-29,Female,Australia,,Thu May 13 09:10:48 AM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,pastry,pastry,roll,Loaf,cake,bread,Squares,English ,,30-39,Female,Canada ,,Thu May 13 09:10:55 AM 2021
cake,cake,tart,pie,cookie,slice,slice,cookie,pastry,pastry,bun,cake,cake,bread,pastry,English,,30-39,Female,USA,None,Thu May 13 09:26:04 AM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,danish,pastry,bun,babka,cake,bun,cobbler,American English,,30-39,Female,USA,,Thu May 13 09:35:21 AM 2021
cake,cake,tart,pie,cookie,cake,tart,biscuit,pastry,cake,bun,roll,cake,bread,slice,English,,20-29,Female,Australia ,,Thu May 13 09:40:02 AM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,pastry,Scone,roll,cake,cake,bread,slice,English,,20-29,Female,Australia,,Thu May 13 09:53:23 AM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,pastry,bun,Scroll,cake,bread,bread,slice,English ,,20-29,Female,Australia ,,Thu May 13 10:18:44 AM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,pastry,Scone,bun,pastry,bun,bread,slice,English,,30-39,Female,Australia,,Thu May 13 10:36:10 AM 2021
cake,cake,pie,pie,cookie,cake,pie,biscuit,pastry,bun,roll,cake,cake,bread,pastry,Swedish ,English ,20-29,Female,Sweden ,,Thu May 13 10:57:16 AM 2021
cake,cake,pie,pie,cookie,cake,pie,cookie,pastry,pastry,roll,pastry,Strudel,bun,cake,English (American),"Swedish, Italian",50-59,Male,USA,,Thu May 13 11:53:00 AM 2021
cake,cake,tart,pie,cake,cake,tart,biscuit,Danish,bun,Scroll,cake,cake,bread,slice,English,Auslan,40-49,Female,Australia,,Thu May 13 12:05:46 PM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,pastry,bun,pastry,slice,cake,bread,slice,English,,20-29,Male,Australia,,Thu May 13 12:19:21 PM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,pastry,pastry,bun,cake,cake,bread,slice,English,"German, Bislama",30-39,Male,England,,Thu May 13 12:50:31 PM 2021
cake,cake,tart,pie,cookie,tart,tart,biscuit,pastry,scone,pastry,pastry,cake,brioche,slice,English,,20-29,Female,Australia,,Thu May 13 12:52:02 PM 2021
cake,cake,tart,pie,cookie,cake,pie,cookie,pastry,pastry,roll,cake,cake,bun,cake,German,English,30-39,Female,Germany,USA,Thu May 13 01:45:52 PM 2021
cake,cake,Flan,pie,biscuit,cake,tart,biscuit,pastry,bun,Scroll,bread,cake,roll,slice,English ,N/A,30-39,Female,Australia,,Thu May 13 01:54:28 PM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,tart,bun,bread,bread,bread,bun,pastry,Mandarin,English,30-39,Female,China,,Thu May 13 02:16:40 PM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,pastry,pastry,roll,pastry,cake,bread,cake,French,English,20-29,Female,France,"USA, CANADA ",Thu May 13 03:51:57 PM 2021
cake,cake,pie,pie,cookie,slice,slice,cookie,pastry,pastry,bun,slice,cake,pastry,slice,czech,"swedish, english, some spanish",20-29,Female,Sweden,,Thu May 13 03:58:22 PM 2021
cake,cake,tart,pie,biscuit,cake,cake,biscuit,pastry,bun,roll,pastry,bread,bread,bread,Spanish ,"English, Catalan",30-39,Female,Spain,,Thu May 13 04:00:02 PM 2021
cake,cake,pie,pie,biscuit,cake,tart,biscuit,pastry,bun,pastry,pastry,pastry,roll,biscuit,english ,,Under 20,Female,scotland,,Thu May 13 04:09:52 PM 2021
cake,cake,tart,pie,cookie,slice,slice,cookie,pastry,biscuit,roll,bread,bread,bun,pastry,English,Chinese,20-29,Female,United States,,Thu May 13 06:28:24 PM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,pastry,pastry,roll,pastry,pastry,bun,pastry,English,"Spanish, Korean, Russian, French",30-39,Female,USA,,Thu May 13 06:40:50 PM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,danish,pastry,roll,bread,cake,bread,pastry,English,none,20-29,Female,USA,none,Thu May 13 06:47:49 PM 2021
cake,cake,tart,pie,Gingerbread,cake,tart,biscuit,pastry,bun,pastry,bread,cake,bread,slice,English,,20-29,Female,UK,,Thu May 13 06:48:35 PM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,pastry,pastry,roll,pastry,bread,bread,bar,English,,20-29,Female,USA,N/A,Thu May 13 07:19:44 PM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,pastry,Scone,pastry,cake,cake,bread,cake,English,,40-49,Female,England,,Thu May 13 08:27:39 PM 2021
cake,cake,tart,pie,cookie,cake,tart,cookie,pastry,pastry,roll,bread,bread,bun,bar,English,none,20-29,Female,USA,n/a,Thu May 13 08:59:45 PM 2021
cake,cake,pastry,pie,cookie,cake,slice,cookie,pastry,pastry,roll,pastry,cake,roll,pastry,English,German,30-39,Male,USA,"None (Germany for 6, not consecutively)",Thu May 13 09:15:08 PM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,pastry,bun,pastry,pastry,pastry,bun,slice,English,"Japanese, French",60-69,Female,New Zealand,,Thu May 13 09:50:14 PM 2021
cake,cake,pie,pie,biscuit,cake,pie,biscuit,tart,Scone,pastry,pastry,cake,bread,tart,English,,40-49,Female,Australia,,Thu May 13 10:03:51 PM 2021
